Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
198,7.8408,5.5677,5.55,8.1756,5.5591,8.59,5.55,10.0856,5.577,5.55
199,5.5626,9.5117,6.5156,5.5573,5.5614,5.5618,11.1263,6.0702,10.0031,5.5574
200,9.4323,5.5646,9.315,5.55,21.1498,5.55,11.1069,5.6083,5.5613,9.9524
201,5.5667,5.5666,6.6907,9.1553,5.5679,8.4448,5.5703,10.6013,5.5812,5.5605
202,5.5872,8.7477,8.8348,5.5563,9.0288,5.5637,5.55,6.4354,8.9682,5.55
203,9.302799,5.5697,6.0036,5.5719,6.3255,5.5577,11.101,8.840301,5.5674,9.2903
204,5.5625,5.5715,6.4793,9.8249,10.1432,8.3697,5.55,5.5662,5.5618,5.5638
205,5.5606,8.6457,9.7321,5.561,6.6893,5.562,5.55,5.55,9.276,5.55
206,9.822599,5.5725,5.5563,5.5609,9.501,5.5645,5.55,8.2212,5.561,9.1791
207,5.6829,5.5676,5.5778,8.230901,5.5673,8.5894,5.5656,6.0388,5.55,5.5591
208,5.5657,10.11,9.2831,5.5634,5.5638,5.5585,5.55,5.575,9.7375,5.9359
209,9.606501,5.5687,5.5616,5.55,9.5724,6.7712,11.1,10.6787,5.7894,9.6813
210,5.5707,10.3228,5.5815,8.8797,5.55,9.7829,5.5604,5.55,6.2494,5.563
211,6.4374,6.0835,9.0453,5.5673,5.582,5.5663,11.0955,6.4796,9.8635,5.5656
212,9.8386,5.5691,5.55,5.5801,9.1339,10.0451,5.5848,8.980801,5.6826,8.838799
213,5.754,9.7261,5.5726,8.7842,5.7948,5.561,5.5581,5.5643,10.0447,5.8215
214,9.763101,5.5605,9.2786,5.565,5.8952,5.55,11.0948,11.0321,5.5641,5.567
215,5.6529,6.9072,5.7345,5.5771,9.7428,9.1592,5.5713,5.5575,5.5627,16.3533
216,5.5881,9.5346,5.5754,8.806499,5.5639,5.844,11.1151,5.55,9.0588,5.581
217,9.4662,5.5948,10.3757,5.5563,5.5941,6.5984,5.5832,10.0141,5.5586,8.5295
218,5.5634,6.5274,5.5645,5.5679,10.1672,10.1502,5.55,5.9283,5.8316,5.5633
219,5.565,9.9654,10.2883,9.5868,5.5803,5.55,11.0713,5.581,9.689301,10.1098
220,9.9879,6.2124,5.5612,5.55,9.654301,5.5731,5.5687,9.7646,5.5683,5.8097
221,5.55,11.3739,5.8928,5.5727,6.2808,9.5079,11.1022,5.5662,5.5649,6.7102
222,5.5712,5.5583,10.2903,9.0581,5.8149,5.7195,5.5618,5.55,9.1399,9.8755
223,9.7922,5.5671,5.5684,5.5627,9.8673,5.9525,5.55,8.8845,6.1213,5.6288
224,5.5589,10.7601,5.5597,5.5676,5.5677,9.415299,5.55,5.5578,6.1416,5.5738
225,5.55,6.985,10.0176,9.032901,5.5586,5.5734,11.1275,5.9785,9.3983,9.406301
226,9.1515,9.4892,6.0516,5.5625,9.95,9.4334,5.5604,8.808,5.5698,5.5799
227,6.2561,6.2041,5.5781,5.5688,5.5666,5.5622,5.55,5.7671,10.0742,10.6116
228,8.883699,5.5775,11.1719,9.137099,6.0957,5.55,5.55,5.5876,5.5666,5.5599
229,6.1879,9.6678,5.5562,5.5674,9.627001,8.6713,11.0964,10.3927,5.55,5.5739
230,5.5779,5.5665,11.0401,5.5724,7.0735,5.5632,5.5712,5.5655,10.6194,8.837999
231,10.5888,5.5576,5.5618,8.7153,8.3261,5.7571,11.1102,10.8518,5.5667,5.55
232,5.5643,9.472,5.55,5.5579,5.5651,10.1438,5.55,5.557,5.5598,5.55
233,5.5578,5.5673,9.728499,5.6151,5.576,5.9981,5.55,5.5662,9.904401,10.3685
234,9.0183,5.5683,5.5656,8.5316,10.2593,5.5702,5.55,9.7463,5.5575,5.55
235,5.55,9.6632,5.5695,5.55,5.5683,10.2121,11.1074,5.563,5.7391,5.5722
236,5.9266,5.8055,8.6334,5.5671,5.5811,5.5621,5.55,5.5874,9.9459,9.6113
